Playername,Country,Age,Height,Position,Years Played,Mean Year,Appearances,Goals,Birthplace,Longitude,Latitude
Piet Velthuizen,Netherlands,27,1.89,Goalkeeper,2009-,2011.5,1,0,Nijmegen,5.8667,51.8500
Cor Veldhoen,Netherlands,,,Defender,1961-1967,1964,27,0,Rotterdam,4.5000,51.9167
Leen Vente,Netherlands,,,Forward,1933-1940,1936.5,21,19,Rotterdam,4.5000,51.9167
Gyliano van Velzen,Netherlands,20,1.86,Forward,,,,,Amsterdam,4.9000,52.3667
Hans Venneker,Netherlands,69,,Defender,1971-1972,1971.5,4,0,Rotterdam,4.5000,51.9167
Paul Verhaegh,Netherlands,30,1.78,Defender,2013-,2013.5,3,0,Kronenberg Netherlands,5.6000,51.2500
Arie Vermeer,Netherlands,,,Defender,1946,1946,1,0,Rotterdam,4.5000,51.9167
Lambert Verdonk,Netherlands,69,,Forward,1964,1964,4,0,Netherlands,4.8833,52.3667
Ferry van der Vinne,Netherlands,,,,1906-1907,1906.5,3,1,Haarlem,4.6333,52.3833
Marciano Vink,Netherlands,43,1.81,Midfielder,1991,1991,2,0,Paramaribo,-55.1667,5.8667
Jan Villerius,Netherlands,,1.90,Defender,1962,1962,1,0,Rotterdam,4.5000,51.9167
Kenneth Vermeer,Netherlands,28,1.82,Goalkeeper,2012-,2013,4,0,Amsterdam,4.9000,52.3667
Eric Viscaal,Netherlands,46,1.80,Forward,1992,1992,5,0,Eindhoven,5.4833,51.4333
Nick Viergever,Netherlands,25,1.82,Defender,2012-,2013,1,0,Capelle aan den IJssel,4.5833,51.9333
Pierre Vermeulen,Netherlands,58,,Forward,1978-1983,1980.5,9,1,Kerkrade,6.0667,50.8667
Gerrit Visser,Netherlands,,,Forward,1924-1925,1924.5,7,1,Nieuwendam,4.9406,52.3917
Wim Volkers,Netherlands,,,Forward,1924-1932,1928,7,2,Amsterdam,4.9000,52.3667
Manus Vrauwdeunt,Netherlands,,,Forward,1937,1937,1,1,Rotterdam,4.5000,51.9167
Martien Vreijsen,Netherlands,58,,Forward,1980,1980,1,0,Breda,4.7833,51.5833
Peter van Vossen,Netherlands,46,1.82,Forward,1992-2000,1996,31,9,Zierikzee,3.9164,51.6497
Ronald Waterreus,Netherlands,43,1.91,Goalkeeper,2001-2004,2002.5,7,0,Vaals,6.0167,50.7667
Edwin Vurens,Netherlands,46,1.88,Forward,1995,1995,1,0,Stompwijk,4.4697,52.0944
Willy de Vos,Netherlands,,,,1905,1905,2,0,Geervliet,4.2667,51.8667
Michel Vorm,Netherlands,30,1.83,Goalkeeper,2008-,2011,15,0,IJsselstein,5.0333,52.0167
Arie de Vroet,Netherlands,,,Forward,1938-1949,1943.5,22,0,Oud-Beijerland,4.4000,51.8167
Frank Wels,Netherlands,,,Forward,1931-1938,1934.5,36,5,Ede Netherlands,5.6667,52.0500
Ron Vlaar,Netherlands,29,1.90,Defender,2005-,2009.5,31,1,Hensbroek,4.8833,52.6500
Mauk Weber,Netherlands,,,Defender,1931-1938,1934.5,27,0,The Hague,4.3167,52.0833
Henk Wery,Netherlands,71,,Forward,1967-1973,1970,12,3,Amersfoort,5.3833,52.1500
Frank Verlaat,Netherlands,46,1.86,Defender,1995,1995,1,0,Haarlem,4.6333,52.3833
Gregory van der Wiel,Netherlands,26,1.83,Defender,2009-,2011.5,37,0,Amsterdam,4.9000,52.3667
Piet Wildschut,Netherlands,56,,Defender,1978-1982,1980,11,1,Leeuwarden,5.7833,53.2000
Jaap Weber,Netherlands,,,,1928-1928,1928,14,1,Rotterdam,4.5000,51.9167
Georginio Wijnaldum,Netherlands,23,1.75,Midfielder,2011-,2012.5,12,2,Rotterdam,4.5000,51.9167
Sander Westerveld,Netherlands,39,1.91,Goalkeeper,1999-2004,2001.5,6,0,Enschede,6.9000,52.2167
Ben Wijnstekers,Netherlands,58,,Defender,1979-1985,1982,36,1,Rotterdam,4.5000,51.9167
Joop Wille,Netherlands,,,,1940,1940,1,0,Haarlem,4.6333,52.3833
Arie de Winter,Netherlands,,,Forward,1938,1938,0,0,Haarlem,4.6333,52.3833
Jetro Willems,Netherlands,20,1.77,Defender,2012-,2013,11,0,Rotterdam,4.5000,51.9167
Aron Winter,Netherlands,47,1.76,Midfielder,1987-2000,1993.5,84,6,Paramaribo,-55.1667,5.8667
Rob de Wit (footballer),Netherlands,50,,Midfielder,1985-1986,1985.5,8,3,Utrecht,5.1167,52.0833
Peter Wisgerhof,Netherlands,34,1.81,Defender,2010-2011,2010.5,2,0,Wageningen,5.6667,51.9667
John de Wolf,Netherlands,51,,Defender,1987-1994,1990.5,6,2,Schiedam,4.4000,51.9167
Ricky van Wolfswinkel,Netherlands,25,1.86,Forward,2010-,2012,2,0,Woudenberg,5.4167,52.0833
Faas Wilkes,Netherlands,,,Forward,1946-1961,1953.5,38,35,Rotterdam,4.5000,51.9167
Richard Witschge,Netherlands,44,1.83,Midfielder,1990-2000,1995,31,1,Amsterdam,4.9000,52.3667
Kees van Wonderen,Netherlands,45,1.87,Defender,1998-1999,1998.5,5,0,Bergen North Holland,4.7167,52.6667
U&#x11F;ur Y&#x131;ld&#x131;r&#x131;m,Netherlands,32,1.75,Midfielder,2005,2005,1,0,Apeldoorn,5.9667,52.2167
Romeo Zondervan,Netherlands,55,,Midfielder,1981,1981,1,0,Paramaribo,-55.1667,5.8667
Boudewijn Zenden,Netherlands,38,1.74,Midfielder,1997-2004,2000.5,54,7,Maastricht,5.6833,50.8500
Roel Wiersma,Netherlands,,1.78,Defender,1954-1962,1958,53,0,Hilversum,5.1667,52.2333
Jan Wouters,Netherlands,54,1.75,Midfielder,1982-1994,1988,70,4,Utrecht,5.1167,52.0833
Demy de Zeeuw,Netherlands,31,1.74,Midfielder,2007-,2010.5,27,0,Apeldoorn,5.9667,52.2167
Rob Witschge,Netherlands,48,1.81,Midfielder,1989-1995,1992,31,3,Amsterdam,4.9000,52.3667
Antoon Verlegh,Netherlands,,,Midfielder,,,8,2,Ginneken,
David Solomon Abwo,Nigeria,28,1.74,Midfielder,,,,,Jos,8.8833,9.9333
Vincent Abaye,Nigeria,26,,Forward,,,,,Enugu,7.5103,6.4525
Olubayo Adefemi,Nigeria,,1.84,Defender,2009-2011,2010,5,0,Lagos,3.3958,6.4531
Sari Abacha,Nigeria,,1.85,Defender,1999,1999,2,0,Nigeria,7.4833,9.0667
George Abbey (footballer),Nigeria,35,,Defender,2003-2007,2005,18,0,Port Harcourt,7.0000,4.7500
Adebayo Adigun,Nigeria,23,1.83,Defender,,,,,Ibadan,3.9167,7.3964
Mutiu Adegoke,Nigeria,30,,Defender,2005-2010,2007.5,3,0,Ibadan,3.9167,7.3964
Mutiu Adepoju,Nigeria,43,1.80,Midfielder,1990-2002,1996,48,6,Ibadan,3.9167,7.3964
Emmanuel Adewole,Nigeria,24,1.79,Forward,,,,,Ota Nigeria,4.7833,7.9500
Abraham Adelaja,Nigeria,26,,Forward,,,,,Abuja,7.4833,9.0667
Rabiu Afolabi,Nigeria,34,1.84,Defender,2000-,2007,20,1,Osogbo,4.5667,7.7667
Reuben Agboola,Nigeria,52,,Defender,1991-1993,1992,9,0,London Borough of Camden,-0.1667,51.5333
Wilfred Agbonavbare,Nigeria,47,1.89,Goalkeeper,1983-1994,1988.5,15,0,Lagos,3.3958,6.4531
Julius Aghahowa,Nigeria,32,1.79,Forward,2000-2007,2003.5,32,14,Benin City,5.6000,6.3167
Chigozie Agbim,Nigeria,29,1.87,Goalkeeper,2012-,2013,14,0,Kaduna,7.4403,10.5231
Joseph Aghoghovbia,Nigeria,,,Forward,1968,1968,2,1,Benin City,5.6000,6.3167
David Adekola,Nigeria,46,,Forward,1989-1991,1990,2,1,Lagos,3.3958,6.4531
Yakubu Aiyegbeni,Nigeria,31,1.83,Forward,2000-2012,2006,57,21,Benin City,5.6000,6.3167
Ademola Adeshina,Nigeria,50,,Midfielder,1982-1990,1986,,,Nigeria,7.4833,9.0667
Waidi Akanni,Nigeria,46,1.80,Defender,1986-1989,1987.5,,,Surulere,3.3500,6.5000
Abiodun Agunbiade,Nigeria,31,1.75,Midfielder,2005,2005,1,0,Zaria,7.7000,11.0667
Edith Agoye,Nigeria,38,1.81,Midfielder,,,1,,Nigeria,7.4833,9.0667
Akande Ajide,Nigeria,28,1.70,Midfielder,,,,,Lagos,3.3958,6.4531
Dele Aiyenugba,Nigeria,30,1.81,Goalkeeper,2005-,2009.5,17,0,Jos,8.8833,9.9333
Murphy Akanji,Nigeria,36,,Goalkeeper,1999-2002,2000.5,2,0,Lagos,3.3958,6.4531
Joseph Akpala,Nigeria,28,1.85,Forward,2008-,2011,9,1,Jos,8.8833,9.9333
Akin Akinsehinde,Nigeria,38,1.80,Forward,,,4,,Nigeria,7.4833,9.0667
Uche Akubuike,Nigeria,34,1.80,Goalkeeper,1998,1998,5,0,Akwa Ibom State,7.8333,5.0000
Benedict Akwuegbu,Nigeria,39,1.80,Forward,2000-2005,2002.5,30,8,Lagos,3.3958,6.4531
Ade Akinbiyi,Nigeria,39,,Forward,1999,1999,1,0,London Borough of Hackney,-0.0833,51.5333
Jonathan Akpoborie,Nigeria,45,1.70,Forward,1995-2001,1998,13,4,Lagos,3.3958,6.4531
Sone Aluko,Nigeria,25,,Forward,2009-,2011.5,1,0,Hounslow,-0.375,51.4667
Bala Ali,Nigeria,,,Midfielder,1981-1989,1985,6,2,Nigeria,7.4833,9.0667
Mohammed Aliyu Datti,Nigeria,32,1.80,Forward,2000-2004,2002,3,0,Kaduna,7.4403,10.5231
Shola Ameobi,Nigeria,32,1.91,Forward,2012-,2013,9,2,Zaria,7.7000,11.0667
Tony Alegbe,Nigeria,32,1.78,Defender,2003,2003,4,0,Nigeria,7.4833,9.0667
Aminu Umar,Nigeria,19,1.69,Forward,,,,,Abuja,7.4833,9.0667
Emmanuel Amuneke,Nigeria,43,1.78,Midfielder,1993-2001,1997,27,9,Obodo,
Yakubu Alfa,Nigeria,23,1.75,Forward,2009,2009,,,Minna,6.5569,9.6139
Kevin Amuneke,Nigeria,28,1.79,Forward,2005,2005,2,0,Obodo,
Daniel Amokachi,Nigeria,41,1.82,Forward,1990-1999,1994.5,44,13,Kaduna,7.4403,10.5231
Victor Anichebe,Nigeria,26,1.91,Forward,2008-,2011,11,1,Lagos,3.3958,6.4531
Aloysius Atuegbu,Nigeria,,1.65,Forward,1975-1981,1978,,,Jos,8.8833,9.9333
Onyekachi Apam,Nigeria,27,1.77,Defender,2007-,2010.5,14,0,Aba Abia,7.3667,5.1167
Haruna Babangida,Nigeria,31,1.66,Midfielder,2003,2003,1,0,Kaduna,7.4403,10.5231
Sam Ayorinde,Nigeria,39,1.78,Forward,1998-2003,2000.5,2,0,Lagos,3.3958,6.4531
Oladipupo Babalola,Nigeria,46,,Defender,1985-1990,1987.5,22,,Lagos,3.3958,6.4531
Tijani Babangida,Nigeria,40,1.69,Midfielder,1994-2004,1999,36,5,Kaduna,7.4403,10.5231
Ajibade Babalade,Nigeria,42,,Defender,1990-98,1044,13,0,Nigeria,7.4833,9.0667
Ramon Azeez,Nigeria,21,1.69,Midfielder,2014-,2014,3,0,Abuja,7.4833,9.0667
Minabo Asechemie,Nigeria,34,,Midfielder,2002-2004,2003,2,0,Lagos,3.3958,6.4531
Rabiu Baita,Nigeria,29,1.74,Midfielder,2002-2004,2003,4,0,Kano State,8.5000,11.5000
Celestine Babayaro,Nigeria,35,1.76,Defender,1995-2004,1999.5,27,0,Kaduna,7.4403,10.5231
Abubakar Balarabe,Nigeria,46,,Forward,1989,1989,2,2,Nigeria,7.4833,9.0667
Tunde Bamidele,Nigeria,,,Defender,1980-1982,1981,10,0,Nigeria,7.4833,9.0667
Abiodun Baruwa,Nigeria,39,1.80,Goalkeeper,1997-1998,1997.5,5,0,Abuja,7.4833,9.0667
Baldwin Bazuaye,Nigeria,45,,Forward,1990-1997,1993.5,7,0,Nigeria,7.4833,9.0667
Teslim Balogun,Nigeria,,,Forward,1948-1960,1954,,,Nigeria,7.4833,9.0667
Sunday Chibuike,Nigeria,32,1.73,playmaker,2000,2000,1,0,Kafanchan,8.3000,9.5667
Justice Christopher,Nigeria,32,1.81,Midfielder,2001-2002,2001.5,11,0,Jos,8.8833,9.9333
John Chiedozie,Nigeria,54,,Midfielder,,,9,2,Owerri,7.0350,5.4850
Raphael Chukwu,Nigeria,39,1.90,Forward,1995-2001,1998,10,3,Aba Abia,7.3667,5.1167
Henry Chidozie,Nigeria,25,,Forward,,,,,Nigeria,7.4833,9.0667
Bright Dike,Nigeria,27,,Forward,2012-,2013,2,1,Edmond Oklahoma,-97.4667,35.6500
George Datoru,Nigeria,37,1.78,Forward,2001,2001,4,0,Nigeria,7.4833,9.0667
Ndubisi Chukunyere,Nigeria,34,,Forward,2002,2002,1,0,Lagos,3.3958,6.4531
Augustine Eguavoen,Nigeria,49,1.91,Defender,1986-1998,1992,53,0,Sapele Delta,5.6667,5.9000
Tosin Dosunmu,Nigeria,34,1.78,Forward,2004,2004,2,0,Lagos,3.3958,6.4531
Prince Efe Ehiorobo,Nigeria,30,1.84,Midfielder,2001,2001,1,0,Benin City,5.6000,6.3167
Dosu Joseph,Nigeria,41,,Goalkeeper,1996-1997,1996.5,3,0,Abuja,7.4833,9.0667
Azubuike Egwuekwe,Nigeria,25,1.95,Defender,2012-,2013,31,1,Lafia,8.5167,8.4917
Ekigho Ehiosun,Nigeria,24,1.80,Forward,2011-,2012.5,3,1,Warri,5.7500,5.5167
Chijioke Ejiogu,Nigeria,29,1.80,Goalkeeper,2004,2004,,,Imo State,7.0333,5.4833
Eric Ejiofor,Nigeria,34,1.81,Defender,2000-2002,2001,14,0,Asaba Delta,6.7283,6.1978
Efan Ekoku,Nigeria,47,1.88,Forward,1994-1998,1996,20,6,Cheetham Hill,-2.2311,53.5039
Austin Ejide,Nigeria,30,1.89,Goalkeeper,2001-,2007.5,31,0,Onitsha,6.7833,6.1667
Ndubuisi Egbo,Nigeria,41,1.81,Goalkeeper,1999-2002,2000.5,6,0,Nigeria,7.4833,9.0667
Ifeanyi Emeghara,Nigeria,30,1.73,Defender,2007-,2010.5,3,0,Lagos,3.3958,6.4531
Elderson,Nigeria,26,1.84,Defender,2009-,2011.5,40,2,Benin City,5.6000,6.3167
Prince Ikpe Ekong,Nigeria,35,1.79,Midfielder,2001-2004,2002.5,9,0,Lagos,3.3958,6.4531
Henry Ekubo,Nigeria,32,1.80,Forward,2003-2004,2003.5,2,0,Jos,8.8833,9.9333
Michael Emenalo,Nigeria,49,1.85,Defender,,,14,,Aba Abia,7.3667,5.1167
Ekene Emigo,Nigeria,29,1.70,Midfielder,2006,2006,1,0,Edo State,6.0000,6.5000
Michael Eneramo,Nigeria,28,1.87,Forward,2009-2011,2010,10,3,Kaduna,7.4403,10.5231
Otekpa Eneji,Nigeria,25,,Midfielder,2010-,2012,2,0,Gboko,9.0050,7.3250
Emmanuel Emenike,Nigeria,27,1.82,Forward,2011-,2012.5,24,15,Otuocha,
Etim Esin,Nigeria,47,,Midfielder,,,,,Oron Nigeria,8.2339,4.8258
Anderson Esiti,Nigeria,20,,Midfielder,,,,,Warri,5.7500,5.5167
Joseph Enakarhire,Nigeria,31,1.84,Defender,2002-2006,2004,22,2,Warri,5.7500,5.5167
Greg Etafia,Nigeria,31,1.80,Goalkeeper,2003-,2008.5,4,0,Auchi,6.2667,7.0667
Teslim Fatusi,Nigeria,36,,Midfielder,1996-1997,1996.5,4,1,Surulere,3.3500,6.5000
Dickson Etuhu,Nigeria,32,1.88,Midfielder,2007-2011,2009,20,0,Kano,8.5167,12.0000
Imoh Ezekiel,Nigeria,20,1.78,Forward,2014-,2014,1,0,Lagos,3.3958,6.4531
Richard Eromoigbe,Nigeria,30,1.77,Midfielder,2007-2008,2007.5,6,0,Lagos,3.3958,6.4531
Vincent Enyeama,Nigeria,31,1.82,Goalkeeper,2002-,2008,94,0,Akwa Ibom State,7.8333,5.0000
Peter Fregene,Nigeria,67,,Goalkeeper,1966-1983,1974.5,,,Sapele Delta,5.6667,5.9000
Emeka Ezeugo,Nigeria,47,1.84,Defender,1992-1994,1993,11,0,Aba Abia,7.3667,5.1167
Mohammed Gambo,Nigeria,26,1.87,Forward,2012-,2013,1,0,Kano,8.5167,12.0000
Emeka Eze,Nigeria,21,1.80,Midfielder,2013-,2013.5,5,0,Nigeria,7.4833,9.0667
Ahmed Garba,Nigeria,34,1.74,Forward,1998-2003,2000.5,6,1,Kano,8.5167,12.0000
Finidi George,Nigeria,43,1.90,Midfielder,1991-2002,1996.5,62,6,Port Harcourt,7.0000,4.7500
Lukman Haruna,Nigeria,23,1.79,Midfielder,,,7,1,Jos,8.8833,9.9333
Kelechi Francis Ibekwe,Nigeria,30,,Forward,,,,,Lagos,3.3958,6.4531
Reuben Gabriel,Nigeria,23,1.95,Midfielder,2010-,2012,12,1,Kaduna,7.4403,10.5231
Iyenemi Furo,Nigeria,36,1.86,Defender,2000,2000,5,0,Okrika,7.0828,4.7397
Osas Idehen,Nigeria,24,1.80,Forward,2010-,2012,1,2,Umuahia,7.4833,5.5333
Ibrahim Olanrewaju,Nigeria,21,,Forward,,,,,Nigeria,7.4833,9.0667
Emeka Ifejiagwa,Nigeria,36,1.84,Defender,1997-2002,1999.5,12,0,Aba Abia,7.3667,5.1167
Papa Idris,Nigeria,25,1.95,Defender,2012-,2013,3,0,Nigeria,7.4833,9.0667
Pius Ikedia,Nigeria,34,1.66,Midfielder,1997-2004,2000.5,15,1,Lagos,3.3958,6.4531
Stanley Ihugba,Nigeria,26,1.71,Midfielder,2004-,2009,10,0,Jos,8.8833,9.9333
Victor Ikpeba,Nigeria,41,1.74,Forward,1992-2002,1997,31,7,Benin City,5.6000,6.3167
Francis Ikechukwu,Nigeria,24,1.85,Forward,,,,,Jos,8.8833,9.9333
Peter Ijeh,Nigeria,37,1.86,Forward,2002,2002,1,0,Lagos,3.3958,6.4531
Chikelue Iloenyosi,Nigeria,33,1.85,Defender,2000,2000,4,0,Enugu,7.5103,6.4525
Kadiri Ikhana,Nigeria,62,,,1978-1982,1980,,,Ilorin,4.5500,8.5000
Benedict Iroha,Nigeria,44,1.73,Defender,1990-1998,1994,50,1,Aba Abia,7.3667,5.1167
Blessing Kaku,Nigeria,36,1.80,Midfielder,2000-2004,2002,4,0,Ughelli,5.9833,5.5000
Barnabas Imenger Jr.,Nigeria,22,,Forward,2012-,2013,3,0,Nigeria,7.4833,9.0667
Manasseh Ishiaku,Nigeria,31,1.83,Forward,2007-,2010.5,4,1,Port Harcourt,7.0000,4.7500
Sani Kaita,Nigeria,28,1.79,Midfielder,2005-2010,2007.5,24,0,Kano,8.5167,12.0000
Emilio John,Nigeria,64,,Forward,,,,,Lagos,3.3958,6.4531
Ikechukwu Kalu,Nigeria,29,1.68,Forward,2003-2004,2003.5,1,0,Kaduna,7.4403,10.5231
Christopher Kanu,Nigeria,34,,Defender,2000-2002,2001,3,0,Owerri,7.0350,5.4850
Nwankwo Kanu,Nigeria,38,1.97,Forward,1994-2011,2002.5,87,12,Owerri,7.0350,5.4850
Uche Kalu,Nigeria,28,1.88,Forward,2012-,2013,7,1,Lagos,3.3958,6.4531
Bello Musa Kofarmata,Nigeria,26,1.75,Forward,2010-,2012,1,0,Kano,8.5167,12.0000
Garba Lawal,Nigeria,40,1.83,Midfielder,1993-2006,1999.5,53,5,Kaduna,7.4403,10.5231
Francis Kumbur,Nigeria,35,1.88,Forward,2002,2002,1,0,Lagos,3.3958,6.4531
Stephen Keshi,Nigeria,52,1.85,Defender,1981-1995,1988,64,9,Azare,10.1911,11.6742
Moses Kpakor,Nigeria,49,,Midfielder,1979-1993,1986,,,Benu&#xE9; State,8.7500,7.3333
Solomon Kwambe,Nigeria,20,1.87,Defender,2012-,2013,10,0,Benu&#xE9; State,8.7500,7.3333
Oladimeji Lawal,Nigeria,43,1.74,Midfielder,1990,1990,3,1,Ifo,3.2000,6.8167
Mudashiru Lawal,Nigeria,,,Midfielder,1975-1985,1980,86,12,Abeokuta,3.3483,7.1608
Kingsley Madu,Nigeria,18,1.74,Defender,,,,,Nigeria,7.4833,9.0667
Stephen Makinwa,Nigeria,31,1.86,Forward,2004-2008,2006,18,2,Lagos,3.3958,6.4531
Obafemi Martins,Nigeria,29,1.72,Forward,2004-,2009,39,18,Lagos,3.3958,6.4531
Sunday Mba,Nigeria,25,1.82,Midfielder,2012-,2013,21,5,Aba Abia,7.3667,5.1167
John Obi Mikel,Nigeria,27,1.88,Midfielder,2006-,2010,62,4,Jos,8.8833,9.9333
Josiah Maduabuchi,Nigeria,26,1.70,Midfielder,2010-,2012,0,0,Lagos,3.3958,6.4531
Raheem Lawal,Nigeria,24,1.85,Midfielder,2012-,2013,4,0,Lagos,3.3958,6.4531
Ahmed Musa (footballer),Nigeria,21,1.70,Forward,2010-,2012,40,7,Jos,8.8833,9.9333
Victor Moses,Nigeria,23,1.77,Forward,2012-,2013,22,7,Lagos,3.3958,6.4531
Gideon Njoku,Nigeria,,,,,,,,Nigeria,7.4833,9.0667
Yusuf Mohamed,Nigeria,30,1.77,Defender,2004-,2009,11,0,Nigeria,7.4833,9.0667
Henry Nwosu,Nigeria,51,,Midfielder,1980-1991,1985.5,60,8,Imo State,7.0333,5.4833
Uche Nwofor,Nigeria,22,1.84,Forward,2010-,2012,6,3,Lagos,3.3958,6.4531
Obinna Nwaneri,Nigeria,32,1.83,Defender,2005-2010,2007.5,33,1,Lagos,3.3958,6.4531
Valentine Nwabili,Nigeria,27,,Defender,2010-,2012,5,0,Nigeria,7.4833,9.0667
Simeon Tochukwu Nwankwo,Nigeria,22,1.95,Forward,,,,,Lagos,3.3958,6.4531
Kingsley Obiekwu,Nigeria,39,,Defender,1996-1999,1997.5,8,0,Igbuzo,6.6333,6.1833
Benji Nzeakor,Nigeria,50,,Forward,1984-1985,1984.5,,,Port Harcourt,7.0000,4.7500
Paul Obiefule,Nigeria,28,1.84,Midfielder,2004-2007,2005.5,14,0,Owerri,7.0350,5.4850
Joel Obi,Nigeria,23,1.77,Midfielder,2011-,2012.5,12,0,Lagos,3.3958,6.4531
Chinedu Obasi,Nigeria,28,1.88,Forward,2005-,2009.5,18,4,Enugu,7.5103,6.4525
Ngemba Evans Obi,Nigeria,29,1.80,Goalkeeper,2008,2008,0,0,Owerri,7.0350,5.4850
Michael Obiku,Nigeria,45,1.84,Forward,1988,1988,2,0,Warri,5.7500,5.5167
Nwankwo Obiora,Nigeria,23,1.86,Midfielder,2012-,2013,8,0,Kaduna,7.4403,10.5231
Victor Obinna,Nigeria,27,1.78,Forward,2005-,2009.5,47,12,Jos,8.8833,9.9333
Godfrey Oboabona,Nigeria,24,1.86,Defender,2012-,2013,34,1,Akure,5.1950,7.2500
James Obiorah,Nigeria,36,1.85,Midfielder,1998-2002,2000,3,1,Jos,8.8833,9.9333
Segun Odegbami,Nigeria,61,,Forward,1976-1982,1979,46,23,Abeokuta,3.3483,7.1608
Christian Obodo,Nigeria,30,1.78,Midfielder,2004-,2009,21,4,Warri,5.7500,5.5167
Kayode Odejayi,Nigeria,32,1.91,Forward,2008,2008,1,0,Ibadan,3.9167,7.3964
Chidi Odiah,Nigeria,30,1.83,Defender,2004-,2009,27,1,Port Harcourt,7.0000,4.7500
Peter Odemwingie,Nigeria,33,,Forward,2008,2008,6,1,Tashkent,69.2167,41.2667
Nnamdi Oduamadi,Nigeria,23,1.75,Forward,2011-,2012.5,12,4,Lagos,3.3958,6.4531
Kunle Odunlami,Nigeria,24,1.87,Defender,2013-,2013.5,11,0,Nigeria,7.4833,9.0667
Best Ogedegbe,Nigeria,,,Goalkeeper,1980-1982,1981,,,Lagos,3.3958,6.4531
Bartholomew Ogbeche,Nigeria,29,1.77,Forward,2002-2004,2003,20,3,Ogoja,8.6667,6.5000
Fegor Ogude,Nigeria,27,1.80,Midfielder,2011-,2012.5,16,0,Lagos,3.3958,6.4531
Adebowale Ogungbure,Nigeria,33,1.84,Midfielder,,,2,0,Lagos,3.3958,6.4531
Christopher Ohen,Nigeria,43,1.82,Forward,1997,1997,1,0,Benin City,5.6000,6.3167
Uche Okafor,Nigeria,,1.90,Defender,1988-1998,1993,34,0,Owerri,7.0350,5.4850
Godwin Odiye,Nigeria,,,Defender,1976-1980,1978,,,Nigeria,7.4833,9.0667
Blessing Okardi,Nigeria,25,1.74,,,,,,Nigeria,7.4833,9.0667
Edward Ofere,Nigeria,28,1.90,Forward,2009,2009,3,0,Lagos,3.3958,6.4531
Foley Okenla,Nigeria,46,,Midfielder,,,,,Ibadan,3.9167,7.3964
Pascal Ojigwe,Nigeria,37,1.76,Midfielder,1994-2002,1998,17,2,Aba Abia,7.3667,5.1167
Chibuzor Okonkwo,Nigeria,25,1.77,Defender,2010-,2012,9,0,Jos,8.8833,9.9333
Eze Vincent Okeuhie,Nigeria,21,,Forward,,,,,Lagos,3.3958,6.4531
Chibuike Okeke,Nigeria,34,,Midfielder,1999-2001,2000,2,0,Nigeria,7.4833,9.0667
Uche Okechukwu,Nigeria,46,1.89,Defender,1990-2002,1996,46,2,Lagos,3.3958,6.4531
Jay-Jay Okocha,Nigeria,41,1.73,Midfielder,1993-2006,1999.5,75,14,Enugu,7.5103,6.4525
Charles Okonkwo,Nigeria,48,,Forward,1984-1991,1987.5,32,19,Enugu,7.5103,6.4525
Victor Agali,Nigeria,35,1.93,Forward,,,,,Okpanam,
Emeka Nwajiobi,Nigeria,55,,Midfielder,,,,,Nibo Awka,
Onyekachi Okonkwo,Nigeria,32,1.80,Defender,2006-2008,2007,20,0,Aba Abia,7.3667,5.1167
Stanley Okoro,Nigeria,21,1.71,Forward,2010-,2012,1,0,Enugu,7.5103,6.4525
Solomon Okoronkwo,Nigeria,27,1.84,Forward,2008-,2011,4,0,Enugu,7.5103,6.4525
Solomon Okpako,Nigeria,24,1.70,Midfielder,,,,,Abraka,
Osas Okoro,Nigeria,22,,Midfielder,2011-,2012.5,1,0,Nigeria,7.4833,9.0667
Kelechi Okoye,Nigeria,30,1.80,Midfielder,2001,2001,3,0,Jos,8.8833,9.9333
Sylvanus Okpala,Nigeria,52,1.76,Midfielder,1979-1988,1983.5,45,5,Anambra State,7.0000,6.3333
Godwin Okpara,Nigeria,41,1.76,Defender,1991-2001,1996,18,0,Obaku Imo,
Ndubuisi Okosieme,Nigeria,47,,Midfielder,1987-1988,1987.5,,,Lagos,3.3958,6.4531
William Okpara,Nigeria,46,1.80,Goalkeeper,1996-1998,1997,5,0,Lagos,3.3958,6.4531
Peter Olayinka,Nigeria,18,,Forward,,,,,Ibadan,3.9167,7.3964
Samuel Okunowo,Nigeria,35,1.80,Defender,1997-2000,1998.5,8,0,Ibadan,3.9167,7.3964
James Okwuosa,Nigeria,23,,Defender,2013-,2013.5,3,0,Ogbaru,
Seyi Olajengbesi,Nigeria,33,1.96,Defender,2002-2004,2003,7,0,Ibadan,3.9167,7.3964
Kenneth Olayombo,Nigeria,66,1.73,Forward,1968-1976,1972,,,Calabar,8.3250,4.9500
Isiaka Olawale,Nigeria,30,1.75,Midfielder,2007-,2010.5,2,0,Nigeria,7.4833,9.0667
Samuel Okwaraji,Nigeria,,,Midfielder,1988-1989,1988.5,8,1,Orlu,7.0389,5.7964
Thompson Oliha,Nigeria,,,Midfielder,1988-1994,1991,31,2,Benin City,5.6000,6.3167
Peter Omoduemuke,Nigeria,30,1.80,Midfielder,2014-,2014,6,1,Ughelli,5.9833,5.5000
Kenneth Omeruo,Nigeria,20,1.85,Defender,2013-,2013.5,17,0,Abia State,7.5000,5.4167
Seyi Olofinjana,Nigeria,34,,Midfielder,2002-2010,2006,44,0,Lagos,3.3958,6.4531
Sunday Oliseh,Nigeria,39,1.83,Midfielder,1993-2002,1997.5,63,4,Delta State,6.0000,5.5000
